a|ইংরেজী বর্ণমালার আদ্যাক্ষর
abed|শয্যাগত
able|সক্ষম
ably|যোগ্যতার সহিত
ache|বেদনা
acid|অম্ল
acne|মুখব্রণ
acre|একর
act|অভিনয় করা
add|যোগ
ado|গোলমাল
aeon|যুগ
afar|বহুদুরে
aft|পশ্চাদ্বর্তী
age|বয়স
aged|বয়স্ক
ago|আগে
ah|আহা
aid|সাহায্য
aide|সহকারী
aim|লক্ষ্য
air|বায়ু
airy|বায়ুর মতো
akin|সদৃশ
al|আল
alas|হায়-হায়
also|ও
alum|ফট্‌কিরি
am|পূর্বাহ্ণ
an|এক
ant|পিঁপড়ে
any|যেকোন
ape|বন মানুষ
apex|চূড়া
apt|এপিটি
arch|বক্ররেখা
area|অংশ
arm|বাহু
art|শিল্প
arts|আর্টস
as|যত
ash|ছাই
ass|গাধা
au|এ-ইউ
auto|স্বয়ংক্রিয়
away|দূরে
baby|শিশু
back|পিছন
bad|খারাপ
bag|থলি
bait|টোপ ফেলা
bald|টাক
ban|নিষেধ
bank|তীর
bar|বাঁধা দেয়া
bard|চারণ
bark|ছাল
base|ভিত্তি
bath|স্নান
bear|ভালুক
bed|বিছানা
beer|বিয়ার
belt|বন্ধনী
bet|বাজি ধরা
bi|দুই
bill|বিল
bird|পাখি
bit|বিট
bite|কামড়ানো
blog|ব্লগ
blur|অস্পষ্ট ছাপ
boat|নৌকা
bold|জোরালো
bond|বন্ধন
book|গ্রন্থ
boom|উচ্চ প্রবৃদ্ধি
boon|অনুগ্রহ
boot|বুট
boy|বালক
boys|ছেলে
bra|বক্ষবন্ধনী
bugs|ত্রুটি
bulk|অধিকাংশ
burn|পোড়ান
bury|সমাহিত করা
bus|বাস
busy|ব্যস্ত
but|কিন্তু
butt|পাছা
buy|কেনা
by|দ্বারা
c|সি
cage|খাঁচা
cake|কেক
camp|শিবির
car|গাড়ি
care|যত্ন
case|অক্ষরের ছাঁদ
cash|নগদ
cast|নিক্ষেপ করা
cat|বিড়াল
char|অক্ষর
chat|আড্ডা
chew|চর্বণ করা
chip|চীপ
chop|টুকরো টুকরো করে কাটা
city|শহর
clay|কাদা
clot|জমাট বাঁধা
club|ক্লাব
cm|সেঃ মিঃ
cold|শীতল
come|আস
cop|পুলিশ
copy|কপি করা
cork|কর্ক
corn|ভুট্টা
cost|খরচ
cow|গরু
coy|নম্র
crew|চালক
crow|কাক
cry|কাঁদা
curd|দধি
curl|বাঁক
cusp|শৃঙ্গ
cut|কাট
dam|বাঁধ
dark|অন্ধকার
das|দাস
date|তারিখ
dawn|ভোর
day|দিন
dd|ডিডি
deal|চুক্তি
deem|গণ্য করা
dew|শিশির
dial|ডায়াল
die|মর
doll|পুতুল
dome|গম্বুজ
door|দরজা
dot|বিন্দু
dots|ফুটকি
down|নিচ
drag|টেনে নিয়ে যাওয়া
drug|ড্রাগ
drum|ঢোল
dry|শুকনা
dual|দ্বৈত্ব
dumb|বোবা
dump|ফেলে দেওয়া
dun|মেটে রঙ
duty|কর্তব্য
dye|রং করা
e.g|উদাঃ
easy|সহজ
eat|খাওয়া
exit|প্রস্থান
eyes|চোখ
fake|নকল
far|দূর
fast|দ্রুত
fern|ফার্ণ
film|ছায়াছবি
fit|উপযোগী
fold|ভাজ
folk|লোক
fork|কাটা চামচ
form|আকার
fort|দুর্গ
four|চার
fox|শিয়াল
ft|ফুট
fuel|ইন্ধন
fun|মজা
g|জি
gang|দল
gay|সমকামী
gem|রত্ন
goat|ছাগল
golf|গল্ফ
grab|ধরা
gum|মাড়ি
gun|বন্দুক
guy|লোক
ham|শুকরের মাংস
hand|হাত
hang|ঝোলান
hash|হ্যাশ
hat|টুপি
holy|পবিত্র
host|হোস্ট
hot|গরম
hour|ঘন্টা
how|কেমন
hub|কেন্দ্র
hue|রঙের সূক্ষ তারতম্য
huge|বিশাল
hunt|শিকার করা
hurt|বেদনা দেওয়া
if|যদি
into|মধ্যে
ip|অাই.পি.
it|এটা
itch|চুলকানো
item|পদ
john|জন
join|যুক্তকরণ
jump|লাফান
just|শুধু
jute|পাট
know|জানা
la|লা
laws|আইনকানুন
lazy|অকর্মণ্য
levy|কর ধার্য করা
link|লিঙ্ক
lion|সিংহ
list|তালিকা
lo|এল-ও
lone|নির্জন
long|দীর্ঘ
loop|চক্র
lose|হারান
loss|ক্ষতি
lost|হারানো
lot|অনেক
lots|অনেক
low|অল্প
lure|প্রলোভন
lurk|ওঁত পেতে থাকা
lush|পরিপূর্ণভাবে বর্ধিত
lust|যৌনসঙ্গকামনা
male|পুরুষ
me|আমি
mix|মিশ্র
moan|বিলাপ করে কথা বলা
mono|মোনো
more|আরও বেশি
moth|মথ
mph|মাইল প্রতি ঘন্টা
mule|খচ্চর
musk|মুখোশ
must|অবশ্যই
mute|নীরব
n|এন
neo|নব্য
net|নেট
new|নতুন
next|পরবর্তী
no|না
non|নয়
noon|মধ্যাহ্ন
not|না
now|এখন
null|ফাঁকা
nut|বাদাম
oaf|বোকা লোক
of|এর
oil|তেল
old|পুরনো
omit|বাদ দেওয়া
on|চালু
once|একবার
one|এক
only|একমাত্র
open|মুক্ত
opt|পছন্দ করা
or|অথবা
os|অপারেটিং সিস্টেম
our|আমাদের
out|বাইরে
over|পার হয়ে যাওয়া
part|অংশ
pay|প্রদান করা
